  icod ireg urbr txcr jeun age fe90 etra chom crim fisc agri arti cadr empl ouvr prof
61 Or BNo -0.56  0.024  0.216  0.274  0.165  0.103  0.122  0.082  0.052  0.228  0.360  0.155  2862.4  38.7 51.2
62 PC NPC  1.73  0.021  0.672  0.307  0.133  0.153  0.041  0.070  0.068  0.253  0.385  0.184  2471.5  48.6 58.5
63 PD Auv  0.52  0.058  0.467  0.245  0.154  0.111  0.061  0.085  0.095  0.260  0.300  0.199  2856.6  46.7 43.0
64 PA Aqu  4.51  0.044  0.513  0.238  0.183  0.118  0.081  0.095  0.090  0.267  0.274  0.192  2958.0  51.6 44.9
65 PH MiP -1.46  0.035  0.346  0.219  0.195  0.139  0.086  0.107  0.080  0.275  0.267  0.186  2874.2  56.6 43.4
66 PO LaR  8.63  0.072  0.434  0.226  0.215  0.173  0.062  0.124  0.093  0.291  0.255  0.174  3408.5  96.2 47.8
67 RB Als  4.31  0.072  0.443  0.261  0.127  0.075  0.020  0.051  0.113  0.259  0.362  0.195  2730.9  57.3 52.7
68 RH Als  3.50  0.090  0.590  0.267  0.128  0.072  0.022  0.052  0.088  0.250  0.393  0.196  2809.0  50.2 55.1
69 Ro RhA  4.71  0.097  0.841  0.266  0.128  0.091  0.020  0.077  0.142  0.262  0.268  0.230  3971.8  83.1 54.9
70 SH FrC -0.66  0.043  0.129  0.283  0.162  0.111  0.075  0.077  0.057  0.229  0.391  0.171  2224.8  33.6 51.6
71 SL Bou -2.01  0.057  0.377  0.255  0.178  0.108  0.080  0.089  0.066  0.237  0.356  0.172  2996.5  37.4 49.5
72 Sa PaL  1.88  0.016  0.374  0.274  0.158  0.109  0.068  0.072  0.071  0.257  0.364  0.168  2821.1  33.7 51.4
73 Sv RhA  7.58  0.066  0.479  0.263  0.140  0.075  0.029  0.100  0.087  0.261  0.305  0.219  5029.7  69.9 52.1
74 SH RhA 15.09  0.086  0.566  0.276  0.116  0.063  0.025  0.097  0.093  0.246  0.338  0.200  3463.1  60.6 53.7
75 Pa IdF -1.17  0.158  1.001  0.186  0.159  0.097  0.000  0.075  0.321  0.255  0.134  0.215  3443.3 139.9 51.1
76 Sm HNo  2.62  0.031  0.644  0.286  0.133  0.137  0.031  0.069  0.087  0.262  0.349  0.202  3802.8  63.5 56.1
77 SM IdF 21.87  0.085  0.561  0.312  0.098  0.080  0.012  0.065  0.126  0.294  0.277  0.227  2858.6  61.0 55.3
78 Yv IdF  9.24  0.104  0.844  0.296  0.092  0.067  0.004  0.058  0.220  0.276  0.197  0.245  3321.1  65.2 55.8
79 2S PoC  1.53  0.014  0.190  0.262  0.173  0.105  0.120  0.087  0.072  0.252  0.315  0.154  2721.4  26.1 48.3
80 So Pic  0.93  0.024  0.339  0.286  0.143  0.140  0.060  0.072  0.082  0.247  0.368  0.172  3080.7  54.8 53.6
81 Ta MiP  1.32  0.042  0.397  0.234  0.200  0.112  0.091  0.097  0.078  0.248  0.312  0.174  2812.7  39.1 46.6
82 TG MiP  5.72  0.048  0.265  0.238  0.194  0.112  0.144  0.092  0.073  0.237  0.289  0.165  2715.4  43.7 48.0
83 Va PAC 14.72  0.063  0.681  0.238  0.187  0.163  0.025  0.126  0.103  0.298  0.245  0.204  3464.5 100.8 53.7
84 Vc PAC  9.14  0.078  0.525  0.260  0.156  0.141  0.059  0.101  0.095  0.253  0.302  0.190  4191.5  75.1 54.0
85 Ve PaL  5.52  0.006  0.158  0.277  0.165  0.094  0.101  0.093  0.057  0.230  0.370  0.149  2592.2  34.0 51.1
86 Vi PoC  2.38  0.017  0.378  0.253  0.172  0.107  0.077  0.077  0.093  0.268  0.305  0.181  2606.8  33.9 43.7
87 VH Lim -0.21  0.026  0.481  0.219  0.200  0.098  0.069  0.078  0.089  0.266  0.306  0.192  2944.5  36.8 39.5
88 Vo Lor -1.90  0.046  0.289  0.275  0.155  0.119  0.048  0.078  0.064  0.228  0.412  0.171  2442.3  34.2 53.4
89 Yo Bou  3.89  0.054  0.242  0.262  0.187  0.107  0.066  0.090  0.071  0.256  0.351  0.166  2803.6  41.0 54.3
90 TB FrC  1.87  0.075  0.572  0.274  0.131  0.113  0.013  0.066  0.093  0.246  0.366  0.215  3060.6  43.1 52.4
91 Es IdF  9.82  0.089  0.871  0.286  0.090  0.072  0.004  0.054  0.171  0.301  0.220  0.250  3470.4  69.4 54.9
92 HS IdF  0.31  0.130  1.001  0.236  0.130  0.082  0.000  0.059  0.249  0.282  0.177  0.232  4533.1  69.7 58.0
93 SS IdF  4.12  0.189  1.000  0.285  0.097  0.119  0.000  0.057  0.097  0.333  0.300  0.212  4122.3  73.0 64.4
94 VM IdF  1.88  0.128  1.000  0.253  0.118  0.091  0.001  0.060  0.167  0.314  0.225  0.234  3942.1  80.4 56.7
95 VO IdF 14.34  0.110  0.882  0.306  0.088  0.088  0.003  0.057  0.142  0.313  0.243  0.243  3065.7  74.9 59.0
 
