"ID";"Label";"Orga.hiero";"Nmbr.Plage.ext";"Decor";"Del.centre";"Datation";"Dm.ext";"Dm.int";"Titre";"Nmbr.hiero";"Nmbr.Symb";"Surface";"Symb";"Hiero";"Titre-Hiero"
"Herbordt2005-503";"H.503";"T-N-T";0;"Abs";"Frise.rectangles";"Inconnue";19;19;"Fonctionnaire";8;1;"Convexe";"Rosette, Frise.rectangles, ";"L363-MAGNUS, L312-VIR, L376-zi/a, L370-BONUS2, L135.2-, L196-HATTI, L370-BONUS2, L386-VIR2";"L370-BONUS2, L135.2-, L196-HATTI, L370-BONUS2, L386-VIR2"
"Herbordt2005-535";"H.535";"Atypique";1;"Hieroglyphes.et/ou.Symbols";"Ligne.simple";"Inconnue";21;13;"Abs";2;3;"Convexe";"L370-BONUS2, Rosette, L370-BONUS2, ";"L432-zu, L13.3-pari, ";"  "
"Herbordt2005-579";"H.579";"Atypique";0;"Abs";"Ligne.simple";"13e";27;27;"Fonctionnaire";4;2;"Convexe";"Griffon.et/ou.Aigle, Rosette,";"L439-wa/i, L214-ni2, L326-SCRIBA, Deux, ";"L326-SCRIBA, Deux"
"Herbordt2005-592";"H.592";"Atypique";1;"Hieroglyphes.et/ou.Symbols";"Ligne.simple";"14e";17;10;"Fonctionnaire";4;2;"Plate";"L370-BONUS2, Cupule, ";"L132-AVIS2, L370-BONUS2, L326-SCRIBA, Trois, ";"L370-BONUS2, L326-SCRIBA, Trois "
"Herbordt2005-598";"H.598";"Centre";0;"Abs";"Ligne.simple";"Inconnue";17;17;"Fonctionnaire";5;2;"Convexe";"Rosette, L440-VITA,";"L105-BOS, L398-, L283-, L289-AURIGA, L386-VIR2, ";"L283-, L289-AURIGA, L386-VIR2 "
"Herbordt2005-607";"H.607";"T-N-T";1;"Hieroglyphes.ou.Symbols";"Ligne.simple";"13e";21;9;"Prince";7;1;"Convexe";"Griffon.et/ou.Aigle, Titre, ";"L390-DOMINUS, L312-VIR, L376-zi/a, L46-REX.FILIUS, L363-MAGNUS, L370-BONUS2, L160-VITIS, ";"L46-REX.FILIUS, L363-MAGNUS, L370-BONUS2, L160-VITIS"
"Herbordt2005-619";"H.619";"Doublet";0;"Abs";"Ligne.simple";"13e";17;17;"Fonctionnaire";3;2;"Convexe";"Rosette, Cupule, ";"L177-LINGUA+CLAVUS, L450-a, L354-URCEUS, ";"L354-URCEUS  "
"Herbordt2005-627";"H.627";"T-N-T";0;"Abs";"Ligne.simple";"Inconnue";19;19;"Fonctionnaire";4;2;"Convexe";"L370-BONUS2, L440-VITA,";"L363-MAGNUS, L199-TONITRUS, L370-BONUS2, L326-SCRIBA, ";"L370-BONUS2, L326-SCRIBA"
"Herbordt2005-648";"H.648";"Atypique";1;"Hieroglyphes.et/ou.Symbols";"Ligne.simple";"Inconnue";16;9;"Fonctionnaire";5;1;"Plate";"L440-VITA, Nom, ";"L199-TONITRUS, L177-LINGUA+CLAVUS, L370-BONUS2, L326-SCRIBA, Deux, ";"L370-BONUS2, L326-SCRIBA, Deux "
"Herbordt2005-674";"H.674";"T-N-T";1;"Hieroglyphes.et/ou.Symbols";"Ligne.simple";"13e";34;18;"Fonctionnaire";4;0;"Convexe";"Nom, Titre, ";"L440-VITA, L383-ra/i, L326-SCRIBA, Trois, ";"L326-SCRIBA, Trois"
"Herbordt2005-676";"H.676";"Atypique";1;"Hieroglyphes.ou.Symbols";"Ligne.simple";"13e";20;10;"Fonctionnaire";4;1;"Convexe";"Griffon.et/ou.Aigle, Nom, Titre, ";"L440-VITA, L383-ra/i, L326-SCRIBA, Quatre, ";"L326-SCRIBA, Quatre"
"Herbordt2005-694";"H.694";"Doublet";1;"Hieroglyphes.et/ou.Symbols";"Ligne.simple";"Inconnue";24;15;"Fonctionnaire";4;1;"Plate";"L370-BONUS2, L441-VITA, L440-VITA, ";"*521-, L107-BOS+MI, L370-BONUS2, L326-SCRIBA, ";"L370-BONUS2, L326-SCRIBA"
"Herbordt2005-696";"H.696";"T-N-T";1;"Hieroglyphes.et/ou.Symbols";"Ligne.simple";"Inconnue";19;15;"Fonctionnaire";5;2;"Convexe";"L370-BONUS2, Rosette, Titre, ";"*521-, L285-zu(wa), L102-CERVUS, L90-ti, L326-SCRIBA, ";"L326-SCRIBA  "
"Herbordt2005-700";"H.700";"Doublet";0;"Abs";"Ligne.simple";"Inconnue";23;23;"Fonctionnaire";5;3;"Convexe";"Griffon.et/ou.Aigle, Rosette, Cupule , ";"*521-, L461-, L398-, L326-SCRIBA, Trois, ";"L326-SCRIBA, Trois"
"Herbordt2005-726";"H.726";"Atypique";1;"Ornemental";"Aucune";"16-15e";20;10;"Abs";3;0;"Plate";"Frise.torsadee, ";"?, ";"?  "
"Herbordt2005-74";"H.74";"T-N-T";2;"Hieroglyphes.ou.Symbols";"Ligne.simple";"Inconnue";32;19;"Prince";7;4;"Convexe";"L441-VITA, Cupule, Titre, L440-VITA, L370-BONUS2, ";"L132-AVIS2, L214-ni2, L278-li, L376-zi/a, L46-REX.FILIUS, L363-MAGNUS, L326-SCRIBA, ";"L46-REX.FILIUS, L363-MAGNUS, L326-SCRIBA "
"Herbordt2005-79";"H.79";"Doublet";1;"Hieroglyphes.ou.Symbols";"Ligne.simple";"Inconnue";21;15;"Fonctionnaire";3;2;"Convexe";"Cupule, Titre, Cupule, ";"L19-a2, L29-ta2, L326-SCRIBA, ";"L326-SCRIBA  "
"Herbordt2005-91";"H.91";"Doublet";1;"Hieroglyphes.ou.Symbols";"Ligne.simple";"Inconnue";29;15;"Prince";7;2;"Convexe";"Griffon.et/ou.Aigle, Titre, Nom, Griffon.et/ou.Aigle, Rosette, ";"L19-a2, *507-, L35-na, L46-REX.FILIUS, L363-MAGNUS, L312-VIR, L270-SUPER, ";"L46-REX.FILIUS, L363-MAGNUS, L312-VIR, L270-SUPER"
"Herbordt2005-94";"H.94";"T-N-T";0;"Abs";"Ligne.simple";"13e";22;22;"Prince";5;0;"Convexe";;"L19-a2, *507-, L35-na, L411-ni, L46-REX.FILIUS, ";"L46-REX.FILIUS  "
